title,label,pseudo_label,weight
z Harvard University,1,0,0.1
Model Driven Performance Analysis of Enterprise Information Systems,1,0,0.1
"Breadcrumbs: efficient, best-effort content location in cache networks",1,0,0.1
Multiphase segmentation of deformation using logarithmic priors,1,0,0.1
"Birmingham,",1,0,0.1
"CGIV CGIV'2002: 2002: The First First European Conference on Colour on Colour in Graphics, Imaging, and Vision Spaces of Spectral Distributions and Their Natural Geometry",1,0,0.1
Rapid Prototyping of Physical User Interfaces,1,0,0.1
Programming G. Manacher Techniques Editor A Linear Space Algorithm for Computing Maximal Common Subsequences,1,0,0.1
Tracing Data Lineage Using Schema Transformation Pathways,1,0,0.1
2009 10th International Conference on Document Analysis and Recognition A Set of Chain Code Based Features for Writer Recognition,1,0,0.1
ABSTRACT,1,0,0.1
Shabajee Add-A-Tag: Learning Adaptive User Profiles from Bookmark,1,0,0.1
Extending Relational Query Optimization to Dynamic Schemas for Information Integration in Multidatabases,1,0,0.1
Ternary CAM Power and Delay Model: Extensions and Uses,1,0,0.1
Proof transformations for evolutionary formal software development,1,0,0.1
Evolving standards for IT service,1,0,0.1
Fast discovery of sequential patterns through memory indexing and database partitioning,1,0,0.1
for genome-wide replication timing data,1,0,0.1
Human Hand Model based on Rigid Body Dynamics,1,0,0.1
"An Electronic Patient Record ""on Steroids"": Distributed, Peer-to-Peer, Secure and Privacy-conscious",1,0,0.1
The Cedar system and an initial performance study,1,0,0.1
SOM Based Image Segmentation,1,0,0.1
Generalized Gaussian Distributions for Sequential Data Classification,1,0,0.1
Defeating encrypted and deniable file systems: TrueCrypt v5.1a and the case of the tattling OS and applications,1,0,0.1
Question Analysis and Answer Passage Retrieval for Opinion Question Answering Systems,1,0,0.1
A GRASP for Coloring Sparse Graphs MANUEL LAGUNA,1,0,0.1
Interpreted Petri Nets used for Human-Machine Dialogue Specification in Process Control: principles and application,1,0,0.1
Nonnegative approximations of nonnegative tensors,1,0,0.1
Completeness in approximation classes,1,0,0.1
Proceedings of the Twenty-Second International Joint Conference on Artificial Intelligence Capturing an Evader in a Polygonal Environment with Obstacles,1,0,0.1
Chick Selecting a Selection Procedure,1,0,0.1
Untangled Monotonic Chains and Adaptive Range Search ?,1,0,0.1
Conformon-P Systems with Negative Values,1,0,0.1
